metric_code         , metric_name                                    , hexaly_value_dataset_1, mathopt_value_dataset_1, hexaly_value_dataset_2, mathopt_value_dataset_2, hexaly_value_dataset_3, mathopt_value_dataset_3, hexaly_value_dataset_4, mathopt_value_dataset_4, hexaly_value_dataset_5, mathopt_value_dataset_5, hexaly_value_dataset_6, mathopt_value_dataset_6, hexaly_value_dataset_7, mathopt_value_dataset_7, hexaly_value_dataset_8, mathopt_value_dataset_8
Work Period Stat.2.3, Day work period max length                     , 0.38                  , 0.38                   , 0.38                  , 0.38                   , 0.14                  , 0.14                   , 0.14                  , 0.14                   , 0.09                  , 0.09                   , 0.38                  , 0.38                   , 2.00                  , 2.00                   , 2.00                  , 2.00
Work Period Stat.2.4, Day work period mean length                    , 3.44                  , 3.31                   , 3.78                  , 3.58                   , 2.62                  , 2.57                   , 2.63                  , 2.43                   , 2.02                  , 2.02                   , 3.61                  , 3.49                   , 3.10                  , 3.10                   , 2.43                  , 2.43
Work Period Stat.3.1, Night work periods number                      , 0.85                  , 0.92                   , 0.69                  , 0.85                   , 0.93                  , 1.00                   , 0.93                  , 0.96                   , 2.28                  , 2.35                   , 0.92                  , 1.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.3.2, Night work period min length                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.3.3, Night work period max length                   , 0.23                  , 0.23                   , 0.23                  , 0.23                   , 0.11                  , 0.11                   , 0.11                  , 0.11                   , 0.04                  , 0.04                   , 0.23                  , 0.23                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.3.4, Night work period mean length                  , 2.36                  , 2.42                   , 3.00                  , 2.55                   , 2.35                  , 2.29                   , 2.31                  , 2.26                   , 2.00                  , 2.00                   , 2.50                  , 2.23                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.4.1, Night activity number                          , 2.00                  , 2.23                   , 2.08                  , 2.15                   , 2.18                  , 2.29                   , 2.14                  , 2.18                   , 4.57                  , 4.70                   , 2.31                  , 2.23                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.4.2, Day activity number                            , 13.77                 , 13.23                  , 11.92                 , 11.85                  , 6.75                  , 6.79                   , 6.39                  , 6.43                   , 4.96                  , 4.96                   , 13.62                 , 13.15                  , 15.50                 , 15.50                  , 8.50                  , 8.50
Work Period Stat.4.3, Total activity number                          , 15.77                 , 15.46                  , 14.00                 , 14.00                  , 8.93                  , 9.07                   , 8.54                  , 8.61                   , 9.52                  , 9.65                   , 15.92                 , 15.38                  , 15.50                 , 15.50                  , 8.50                  , 8.50
Work Period Stat.4.4, Isolated activity number                       , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Rest Period Stat.0  , Periods number                                 , 5.15                  , 5.23                   , 4.00                  , 4.31                   , 4.14                  , 4.25                   , 4.00                  , 4.32                   , 5.35                  , 5.35                   , 5.08                  , 5.15                   , 5.00                  , 4.50                   , 4.50                  , 4.50
Rest Period Stat.1  , Min length                                     , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Rest Period Stat.2  , Max length                                     , 0.46                  , 0.38                   , 0.38                  , 0.31                   , 0.89                  , 1.04                   , 0.50                  , 0.75                   , 0.28                  , 0.24                   , 0.54                  , 0.54                   , 2.50                  , 2.50                   , 4.50                  , 6.50
Rest Period Stat.3  , Mean length                                    , 2.51                  , 2.47                   , 2.40                  , 2.23                   , 3.81                  , 3.71                   , 4.03                  , 3.73                   , 3.22                  , 3.22                   , 2.58                  , 2.54                   , 2.90                  , 3.22                   , 4.78                  , 4.78
Rest Period Stat.4  , Rest number                                    , 12.92                 , 12.92                  , 9.62                  , 9.62                   , 15.79                 , 15.79                  , 16.11                 , 16.11                  , 17.24                 , 17.24                  , 13.08                 , 13.08                  , 14.50                 , 14.50                  , 21.50                 , 21.50
Rest Period Stat.5  , Isolated rest period nb                        , 0.38                  , 0.23                   , 0.15                  , 0.31                   , 0.32                  , 0.29                   , 0.18                  , 0.32                   , 0.48                  , 0.59                   , 0.46                  , 0.38                   , 0.50                  , 0.00                   , 0.50                  , 0.50
Activity Stat.0     , Activity preference score                      , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.1     , Effective work activity number                 , 14.92                 , 14.92                  , 13.62                 , 13.62                  , 8.57                  , 8.57                   , 8.25                  , 8.25                   , 9.13                  , 9.13                   , 14.77                 , 14.77                  , 15.50                 , 15.50                  , 8.50                  , 8.50
Activity Stat.2     , Assimilated work activity number               , 0.15                  , 0.15                   , 0.15                  , 0.15                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.13                  , 0.13                   , 0.15                  , 0.15                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.3     , Different activity number                      , 3.08                  , 2.31                   , 2.38                  , 2.15                   , 1.11                  , 1.11                   , 1.11                  , 1.11                   , 1.67                  , 1.50                   , 3.00                  , 2.54                   , 3.50                  , 3.50                   , 1.00                  , 1.00
Activity Stat.4     , Planned leave number                           , 2.00                  , 2.00                   , 2.00                  , 2.00                   , 2.25                  , 2.25                   , 2.25                  , 2.25                   , 2.00                  , 2.00                   , 2.00                  , 2.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.5     , Unplanned leave number                         , 0.00                  , 0.00                   , 4.62                  , 4.62                   , 3.39                  , 3.39                   , 3.39                  , 3.39                   , 1.50                  , 1.50                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.6     , Leave number                                   , 2.00                  , 2.00                   , 6.62                  , 6.62                   , 5.64                  , 5.64                   , 5.64                  , 5.64                   , 3.50                  , 3.50                   , 2.00                  , 2.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Activity Stat.7     , Activity change number                         , 2.69                  , 0.31                   , 2.00                  , 0.54                   , 0.00                  , 0.00                   , 0.93                  , 0.07                   , 0.04                  , 0.00                   , 2.08                  , 0.23                   , 4.00                  , 4.00                   , 0.00                  , 0.00
Activity Stat.8     , Activity 'CA' occurrence nb                    , 2.00                  , 2.00                   , 2.00                  , 2.00                   , 2.25                  , 2.25                   , 2.25                  , 2.25                   , 2.00                  , 2.00                   , 2.00                  , 2.00                   , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'FC' occurrence nb                    , 0.15                  , 0.15                   , 0.15                  , 0.15                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 0.15                  , 0.15                   , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'J1' occurrence nb                    , 1.69                  , 1.69                   , 1.46                  , 1.69                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 1.69                  , 1.69                   , 7.50                  , 7.50                   , 8.50                  , 8.50
Activity Stat.8     , Activity 'J2' occurrence nb                    , 1.69                  , 1.69                   , 1.62                  , 1.54                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 1.62                  , 1.62                   , 5.50                  , 5.50                   , ###                   , ###
Activity Stat.8     , Activity 'M' occurrence nb                     , 4.62                  , 4.62                   , 3.77                  , 4.38                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 5.77                  , 5.77                   , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'N' occurrence nb                     , 2.31                  , 2.31                   , 2.23                  , 2.23                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 2.23                  , 2.23                   , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'RC' occurrence nb                    , 0.08                  , 0.08                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'RH' occurrence nb                    , 12.77                 , 12.77                  , 9.62                  , 9.62                   , 15.79                 , 15.79                  , 16.11                 , 16.11                  , 17.24                 , 17.24                  , 13.08                 , 13.08                  , 14.50                 , 14.50                  , 21.50                 , 21.50
Activity Stat.8     , Activity 'S' occurrence nb                     , 4.62                  , 4.62                   , 4.54                  , 3.77                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 3.46                  , 3.46                   , ###                   , ###                    , ###                   , ###
Activity Stat.8     , Activity 'TP' occurrence nb                    , 0.08                  , 0.08                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , ###                   , ###
Office Stat.0       , Different office nb                            , 1.77                  , 1.62                   , 1.46                  , 1.38                   , 1.11                  , 1.11                   , 1.11                  , 1.11                   , 0.98                  , 0.98                   , 1.77                  , 1.54                   , 1.00                  , 1.00                   , 1.00                  , 1.00
Office Stat.1       , Office 'hopital de jour' occurrence nb         , 3.38                  , 3.38                   , 3.08                  , 3.23                   , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 3.31                  , 3.31                   , 15.50                 , 15.50                  , 8.50                  , 8.50
Office Stat.1       , Office 'hospitalisation continue' occurrence nb, 11.54                 , 11.54                  , 10.54                 , 10.38                  , ###                   , ###                    , ###                   , ###                    , ###                   , ###                    , 11.46                 , 11.46                  , ###                   , ###                    , ###                   , ###
Office Stat.3       , Office change number                           , 2.23                  , 0.23                   , 1.23                  , 0.46                   , 0.00                  , 0.00                   , 0.93                  , 0.07                   , 0.00                  , 0.00                   , 2.08                  , 0.23                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Time Stat.0    , Total work time                                , 123:5:27              , 122:10:54              , 108:10:54             , 107:49:5               , 111:40:0              , 111:40:0               , 105:56:40             , 105:56:40              , 119:29:8              , 108:30:51              , 123:5:27              , 125:49:5               , 155:0:0               , 155:0:0                , 85:0:0                , 85:0:0
Work Time Stat.1    , Effective weighted work time planned           , 121:49:5              , 120:54:32              , 106:54:32             , 106:32:43              , 111:40:0              , 111:40:0               , 105:56:40             , 105:56:40              , 118:17:8              , 107:18:51              , 121:49:5              , 124:32:43              , 155:0:0               , 155:0:0                , 85:0:0                , 85:0:0
Work Time Stat.2    , Initial available time                         , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0                , 145:22:0              , 145:22:0               , 145:22:0              , 145:22:0               , 146:9:36              , 146:9:36               , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0
Work Time Stat.3    , Remaining available time                       , 28:38:10              , 29:32:43               , 16:49:5               , 17:10:54               , 17:55:20              , 17:55:20               , 3:38:40               , 3:38:40                , 7:16:27               , 18:14:44               , 28:38:10              , 25:54:32               , 12:0:0                , 12:0:0                 , 82:0:0                , 82:0:0
Work Time Stat.4    , Supp time planned                              , 0:16:21               , 0:0:0                  , 4:5:27                , 2:49:5                 , 2:34:40               , 2:34:40                , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:32:43               , 0:0:0                  , 8:0:0                 , 8:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.5    , Supp time allowed                              , 20:0:0                , 20:0:0                 , 20:0:0                , 20:0:0                 , 20:0:0                , 20:0:0                 , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 20:0:0                , 20:0:0                 , 20:0:0                , 20:0:0                 , 20:0:0                , 20:0:0
Work Time Stat.6    , Contract time                                  , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0                , 145:22:0              , 145:22:0               , 145:22:0              , 145:22:0               , 146:9:36              , 146:9:36               , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0                , 147:0:0               , 147:0:0
Work Time Stat.7    , Assimilated work time                          , 1:16:21               , 1:16:21                , 1:16:21               , 1:16:21                , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 1:12:0                , 1:12:0                 , 1:16:21               , 1:16:21                , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.8    , Planned leave time                             , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.9    , Unplanned leave time                           , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.10   , Leave time                                     , 15:16:21              , 15:16:21               , 42:0:0                , 42:0:0                 , 35:46:40              , 35:46:40               , 35:46:40              , 35:46:40               , 19:24:0               , 19:24:0                , 15:16:21              , 15:16:21               , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.11   , Effective work time planned                    , 121:49:5              , 120:54:32              , 106:54:32             , 106:32:43              , 111:40:0              , 111:40:0               , 105:56:40             , 105:56:40              , 118:17:8              , 107:18:51              , 121:49:5              , 124:32:43              , 155:0:0               , 155:0:0                , 85:0:0                , 85:0:0
Work Time Stat.12   , Start cumulated supp time                      , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 2:46:40               , 2:46:40                , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0                  , 0:0:0                 , 0:0:0
Work Time Stat.13   , End cumulated supp time                        , -8:-38:-10            , -9:-32:-43             , 3:10:54               , 2:49:5                 , 4:51:20               , 4:51:20                , -3:-38:-40            , -3:-38:-40             , -7:-16:-27            , -18:-14:-44            , -8:-38:-10            , -5:-54:-32             , 8:0:0                 , 8:0:0                  , -62:0:0               , -62:0:0
Pref Weekend.0      , In weekend count                               , 1.55                  , 1.55                   , 0.55                  , 0.73                   , 0.83                  , 0.72                   , 0.78                  , 0.83                   , 0.57                  , 0.57                   , 1.45                  , 1.64                   , 1.00                  , 1.00                   , 0.00                  , 0.00
Pref Weekend.1      , Off weekend count                              , 2.27                  , 2.36                   , 2.45                  , 2.64                   , 2.17                  , 2.06                   , 2.11                  , 2.17                   , 1.77                  , 1.89                   , 2.36                  , 2.27                   , 3.00                  , 3.00                   , 4.00                  , 4.00
Pref Weekend.2      , Cut weekend count                              , 0.00                  , 0.00                   , 0.91                  , 0.64                   , 1.00                  , 1.22                   , 1.11                  , 1.00                   , 1.40                  , 1.31                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Pref Weekend.3      , Worked weekend count                           , 1.55                  , 1.55                   , 1.45                  , 1.36                   , 1.83                  , 1.94                   , 1.89                  , 1.83                   , 1.97                  , 1.89                   , 1.45                  , 1.64                   , 1.00                  , 1.00                   , 0.00                  , 0.00
Pref Weekend.4      , Worked Sunday count                            , 1.55                  , 1.55                   , 0.73                  , 0.91                   , 1.33                  , 1.33                   , 1.33                  , 1.33                   , 1.31                  , 1.23                   , 1.45                  , 1.64                   , 1.00                  , 1.00                   , 0.00                  , 0.00
Pref Weekend.5      , Off Sunday count                               , 2.45                  , 2.45                   , 3.27                  , 3.09                   , 2.67                  , 2.67                   , 2.67                  , 2.67                   , 2.69                  , 2.77                   , 2.55                  , 2.36                   , 3.00                  , 3.00                   , 4.00                  , 4.00
Pref Weekend.6      , Weekend off around planned leave               , 80%                   , 100%                   , 100%                  , 100%                   , 100%                  , 100%                   , 100%                  , 100%                   , 54%                   , 58%                    , 100%                  , 100%                   , 100%                  , 100%                   , 100%                  , 100%
Pref Weekend.7      , Total weekend around planned leave count       , 0.91                  , 0.91                   , 0.91                  , 0.91                   , 1.00                  , 1.00                   , 1.00                  , 1.00                   , 0.69                  , 0.69                   , 0.91                  , 0.91                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Pref Weekend.8      , Off weekend around planned leave count         , 0.73                  , 0.91                   , 0.91                  , 0.91                   , 1.00                  , 1.00                   , 1.00                  , 1.00                   , 0.37                  , 0.40                   , 0.91                  , 0.91                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.1.1, Work periods number                            , 4.73                  , 4.82                   , 3.73                  , 3.91                   , 4.00                  , 4.11                   , 3.78                  , 4.11                   , 5.14                  , 4.71                   , 4.73                  , 4.91                   , 5.00                  , 5.00                   , 3.50                  , 3.50
Work Period Stat.1.2, Work period min length                         , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.1.3, Work period max length                         , 0.45                  , 0.45                   , 0.45                  , 0.45                   , 0.22                  , 0.22                   , 0.22                  , 0.22                   , 0.11                  , 0.11                   , 0.45                  , 0.45                   , 2.00                  , 2.00                   , 2.00                  , 2.00
Work Period Stat.1.4, Work period mean length                        , 3.44                  , 3.30                   , 3.78                  , 3.58                   , 2.62                  , 2.57                   , 2.63                  , 2.43                   , 2.01                  , 2.01                   , 3.56                  , 3.35                   , 3.10                  , 3.10                   , 2.43                  , 2.43
Work Period Stat.2.1, Day work periods number                        , 4.73                  , 4.73                   , 3.73                  , 3.91                   , 4.00                  , 4.11                   , 3.78                  , 4.11                   , 3.23                  , 3.23                   , 4.45                  , 4.45                   , 5.00                  , 5.00                   , 3.50                  , 3.50
Work Period Stat.2.2, Day work period min length                     , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00
Work Period Stat.2.3, Day work period max length                     , 0.45                  , 0.45                   , 0.45                  , 0.45                   , 0.22                  , 0.22                   , 0.22                  , 0.22                   , 0.11                  , 0.11                   , 0.45                  , 0.45                   , 2.00                  , 2.00                   , 2.00                  , 2.00
Work Period Stat.2.4, Day work period mean length                    , 3.44                  , 3.31                   , 3.78                  , 3.58                   , 2.62                  , 2.57                   , 2.63                  , 2.43                   , 2.02                  , 2.02                   , 3.61                  , 3.49                   , 3.10                  , 3.10                   , 2.43                  , 2.43
Work Period Stat.3.1, Night work periods number                      , 0.00                  , 0.09                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 0.00                  , 0.00                   , 1.91                  , 1.49                   , 0.27                  , 0.45                   , 0.00                  , 0.00                   , 0.00                  , 0.00
